Class,Frame,X1,Y1,X2,Y2,Car ID,Plate
car,268,291,119,411,253,0,xen
car,272,109,28,165,94,N/A,No Plate
car,276,362,253,554,463,N/A,No Plate
car,280,417,350,639,480,N/A,No Plate
car,604,217,30,314,126,N/A,No Plate
car,612,277,111,426,279,N/A,No Plate
car,616,319,177,531,424,N/A,No Plate
car,656,108,30,155,93,N/A,No Plate
car,664,104,82,203,213,N/A,No Plate
car,836,187,238,361,463,N/A,No Plate
car,860,232,9,295,62,N/A,No Plate
car,916,141,41,230,159,N/A,No Plate
car,1480,166,72,273,194,N/A,No Plate
car,1488,234,266,488,478,N/A,No Plate
car,1584,207,402,407,480,N/A,No Plate
